Tipo,Titolo,Url,Nascita,Morte
,Ramón Pelegero Sanchís,https://it.wikipedia.org/wiki/Raimon,,
,Denis Sampieri,,,
,Sofia Mavreidi-Papadaki,https://el.wikipedia.org/wiki/%CE%A3%CE%BF%CF%86%CE%AF%CE%B1_%CE%9C%CE%B1%CF%85%CF%81%CE%BF%CE%B5%CE%B9%CE%B4%CE%AE-_CE%A0%CE%B1%CF%80%CE%B1%CF%80%CE%B1%CF%80%CE%B1%CE%B4%CE%AC%CE%BA%CE%B7,,
,Fritz Löhner-Beda,https://it.wikipedia.org/wiki/Fritz_L%C3%B6hner-Beda,,
,Francesco Piobbichi,,,
,Marco Mangani,https://it.wikipedia.org/wiki/Marco_Mangani,,
,Claudio Cormio,,,
,Cristina Tioli,,,
,Maurice Druon,https://it.wikipedia.org/wiki/Maurice_Druon,,
,Francesco Forlani,https://it.wikipedia.org/wiki/Francesco_Forlani,,
,Sébastien Faure,https://it.wikipedia.org/wiki/S%C3%A9bastien_Faure,,
,Ewan MaCall,https://it.wikipedia.org/wiki/Ewan_MacColl,,
,Carlo Grassi,,,
,Martin Hoffman,https://en.wikipedia.org/wiki/Martin_Hoffman_(songwriter),,
,Nikos Tsakonas,,,
,Gonzalo Rojas Pizarro,https://it.wikipedia.org/wiki/Gonzalo_Rojas,,
,Víctor Víctor,https://it.wikipedia.org/wiki/V%C3%ADctor_V%C3%ADctor,,
,Les Ogres de Barback,https://it.wikipedia.org/wiki/Les_Ogres_de_Barback,,
,Marco Guercio,,,
,Smile Jamaica,,,
,Franco Lucà,https://it.wikipedia.org/wiki/Franco_Luc%C3%A0,,
,José Miguel Ripoll,,,
,Allain Lepreste,https://fr.wikipedia.org/wiki/Allain_Lepreste,,
,Cesar Isella,https://it.wikipedia.org/wiki/C%C3%A9sar_Isella,,
,ZeroInCoscienza,,,
,Carlo Ferrari,,,
,Jorge Gonzales,https://it.wikipedia.org/wiki/Jorge_Gonz%C3%A1lez_(musicista),,
,G. Pappalardo,,,
,Jesus Villatero,,,
,Carlo Gagne,,,
,Giovanni Serbandini,https://it.wikipedia.org/wiki/Giovanni_Serbandini,,
,Giovanni D' Ambrosio,,,
,Elisio Scabbia,,,
,Luciano Tarabella,,,
,Nadyr Vietti,,,
,Jeanne Perret,,,
,Lorenzo Peritore,,,
,Cosme,,,
,Laura Rodriguez,,,
,Jesús López Pacheco,https://es.wikipedia.org/wiki/Jes%C3%AAs_L%C3%B3pez_Pacheco,,
,Lorenzo Ottoz,,,
,D. Settimelli,,,
,Leopoldo Cardona,,,
,Annie Nobel,,,
,P.F. Sloan,https://it.wikipedia.org/wiki/P._F._Sloan,,
,J. Clozel,,,
,Adolfo Cheldràn,https://es.wikipedia.org/wiki/Adolfo_Celdr%C3%A1n,,
,Romualdo Marenco,https://it.wikipedia.org/wiki/Romualdo_Marenco,,
,Poerio Corti,,,
,Manu Téron,,,
,Rafael Casasempere,,,
,Paul Brousse,https://it.wikipedia.org/wiki/Paul_Brousse,,
,Francis Lemonnier,,,
,J. Darcier,https://fr.wikipedia.org/wiki/Joseph_Darcier,,
,Luciana Dilaudadio,,,
,Maxim Vallentin,https://de.wikipedia.org/wiki/Maxim_Vallentin,,
,Giovanni Parenti,,,
,Giulio De Paola,,,
,Franz Jahnke,,,
,Claude Michel,,,
,Righini,,,
,Eleanor Kellogg,,,
,Maurice Vidalin,https://fr.wikipedia.org/wiki/Maurice_Vidalin,,
